,Rank,Article_Name,Url
0,1,農業選んだ工藤阿須加、父は背中を押してくれた「いいじゃないか…おれも手伝いに行く」読売新聞オンライン11/28(日) 5:01,https://news.yahoo.co.jp/articles/58326335c44a371cc13a90c390ce7578a819c902
1,2,中日・又吉投手がFA行使意向　独立リーグ出身で初共同通信11/28(日) 17:18,https://news.yahoo.co.jp/articles/6d5c5771b4020a842561379ca9ce4ef37368f3af
2,3,中国に配慮してオミクロン株に？　WHOが2文字飛ばしの理由を説明朝日新聞デジタル11/28(日) 9:37,https://news.yahoo.co.jp/articles/46194479081299ae54a00a02ae11411fa12b2e71
3,4,中３刺殺、加害生徒「給食の箸をすぐ渡してくれない時も」…学校に複数の不満訴え読売新聞オンライン11/28(日) 5:00,https://news.yahoo.co.jp/articles/25d564d8d27a959c65c38afd6cbf8d5c6d127011
4,5,あの『ワイドナショー』初出演で反省「しゃべり方不快なのすいません」オリコン11/28(日) 14:16,https://news.yahoo.co.jp/articles/48739b7020849643f4b42fcf5376af9bb8571056
5,6,「人として見られてない」働く貧困層は“10万円支給”対象外　コロナ禍で困窮も…【福岡発】FNNプライムオンライン11/28(日) 18:01,https://news.yahoo.co.jp/articles/ab3dbede52dc6fa55e57ed1974d837b95ee1434e
6,7,元貴源治が貴乃花部屋の実態暴露「ちゃんこ代が３日間で５０００円」東スポWeb11/28(日) 17:46,https://news.yahoo.co.jp/articles/d7a3660415d30e685a95743793c228479a4ea5d0
7,8,大渕愛子弁護士、誹謗中傷犯は二児の母と報告　謝罪文拒否に「反省していないことは確か」ねとらぼ11/28(日) 17:55,https://news.yahoo.co.jp/articles/8321871daf2af536c14a5ea96a908b93673c4c61
8,9,三ヶ島かなが最終戦で涙のツアー初V　稲見萌寧は賞金女王戴冠ゴルフ情報ALBA.Net11/28(日) 14:45,https://news.yahoo.co.jp/articles/75d25ae2c38a973e98ca7112ac7ea759f5270e7b
9,10,「オートバイが転倒した」30歳会社員女性が死亡…東名下りから伊勢湾岸道に向かう途中 豊田ＪＣＴCBCテレビ11/28(日) 14:53,https://news.yahoo.co.jp/articles/db5773a15d1b5feb480680620319fa35229d3b1d
